mes,precipitaciones,id,NAMEUNIT
2021-11-15,32.6,32,Ourense
2021-12-15,144.5,32,Ourense
2021-01-15,52.3,34,Palencia
2021-02-15,81.3,34,Palencia
2021-03-15,7.5,34,Palencia
2021-04-15,55.8,34,Palencia
2021-05-15,29.7,34,Palencia
2021-06-15,79.3,34,Palencia
2021-07-15,3.4,34,Palencia
2021-08-15,6.8,34,Palencia
2021-09-15,61.6,34,Palencia
2021-10-15,47.5,34,Palencia
2021-11-15,56,34,Palencia
2021-12-15,51.5,34,Palencia
2021-01-15,255.4,35,Pontevedra
2021-02-15,335.7,35,Pontevedra
2021-03-15,22.3,35,Pontevedra
2021-04-15,128.4,35,Pontevedra
2021-05-15,144.5,35,Pontevedra
2021-06-15,80.7,35,Pontevedra
2021-07-15,24.6,35,Pontevedra
2021-08-15,34,35,Pontevedra
2021-09-15,92.4,35,Pontevedra
2021-10-15,175.7,35,Pontevedra
2021-11-15,45.3,35,Pontevedra
2021-12-15,236.4,35,Pontevedra
2021-01-15,52.9,36,Salamanca
2021-02-15,123.6,36,Salamanca
2021-03-15,4.1,36,Salamanca
2021-04-15,62.4,36,Salamanca
2021-05-15,24.4,36,Salamanca
2021-06-15,50.8,36,Salamanca
2021-07-15,5.6,36,Salamanca
2021-08-15,6.7,36,Salamanca
2021-09-15,85,36,Salamanca
2021-10-15,78.6,36,Salamanca
2021-11-15,27.1,36,Salamanca
2021-12-15,48.4,36,Salamanca
2021-01-15,63.3,38,Segovia
2021-02-15,80.5,38,Segovia
2021-03-15,3.3,38,Segovia
2021-04-15,88.5,38,Segovia
2021-05-15,39.8,38,Segovia
2021-06-15,55.6,38,Segovia
2021-07-15,6.3,38,Segovia
2021-08-15,14.4,38,Segovia
2021-09-15,47.1,38,Segovia
2021-10-15,62.5,38,Segovia
2021-11-15,42.9,38,Segovia
2021-12-15,44.8,38,Segovia
2021-01-15,91.1,39,Sevilla
2021-02-15,54.4,39,Sevilla
2021-03-15,24.5,39,Sevilla
2021-04-15,60.7,39,Sevilla
2021-05-15,9.2,39,Sevilla
2021-06-15,8.1,39,Sevilla
2021-07-15,0.1,39,Sevilla
2021-08-15,0.2,39,Sevilla
2021-09-15,46,39,Sevilla
2021-10-15,29.9,39,Sevilla
2021-11-15,20.6,39,Sevilla
2021-12-15,114.7,39,Sevilla
2021-01-15,75.1,40,Soria
2021-02-15,63.5,40,Soria
2021-03-15,12.1,40,Soria
2021-04-15,67.7,40,Soria
2021-05-15,70.7,40,Soria
2021-06-15,85.4,40,Soria
2021-07-15,10.5,40,Soria
2021-08-15,19.4,40,Soria
2021-09-15,56.5,40,Soria
2021-10-15,47,40,Soria
2021-11-15,62.9,40,Soria
2021-12-15,37.7,40,Soria
2021-01-15,52.7,41,Tarragona
2021-02-15,28.4,41,Tarragona
2021-03-15,9.7,41,Tarragona
2021-04-15,59.6,41,Tarragona
2021-05-15,19,41,Tarragona
2021-06-15,63.8,41,Tarragona
2021-07-15,22.4,41,Tarragona
2021-08-15,43.5,41,Tarragona
2021-09-15,88.7,41,Tarragona
2021-10-15,25.4,41,Tarragona
2021-11-15,115,41,Tarragona
2021-12-15,5.1,41,Tarragona
2021-01-15,54.1,42,Teruel
2021-02-15,28.8,42,Teruel
2021-03-15,11.9,42,Teruel
2021-04-15,74.6,42,Teruel
2021-05-15,48.5,42,Teruel
2021-06-15,72.6,42,Teruel
2021-07-15,26.8,42,Teruel
2021-08-15,48.1,42,Teruel
2021-09-15,55,42,Teruel
2021-10-15,30.9,42,Teruel
2021-11-15,60,42,Teruel
2021-12-15,13.2,42,Teruel
2021-01-15,83,43,Toledo
2021-02-15,51.1,43,Toledo
2021-03-15,7.5,43,Toledo
2021-04-15,62.5,43,Toledo
2021-05-15,15,43,Toledo
2021-06-15,27.1,43,Toledo
2021-07-15,3.3,43,Toledo
2021-08-15,18.6,43,Toledo
2021-09-15,70.5,43,Toledo
2021-10-15,94.7,43,Toledo
2021-11-15,16.4,43,Toledo
2021-12-15,29.9,43,Toledo
2021-01-15,61.9,44,València/Valencia
2021-02-15,16.8,44,València/Valencia
2021-03-15,49.3,44,València/Valencia
2021-04-15,86.4,44,València/Valencia
2021-05-15,33.8,44,València/Valencia
2021-06-15,34.2,44,València/Valencia
2021-07-15,17.1,44,València/Valencia
2021-08-15,30.9,44,València/Valencia
2021-09-15,99.3,44,València/Valencia
2021-10-15,46.1,44,València/Valencia
2021-11-15,46.6,44,València/Valencia
2021-12-15,5.5,44,València/Valencia
2021-01-15,29.2,45,Valladolid
2021-02-15,69.1,45,Valladolid
2021-03-15,4.1,45,Valladolid
2021-04-15,65.1,45,Valladolid
2021-05-15,24.3,45,Valladolid
2021-06-15,58.3,45,Valladolid
2021-07-15,1.9,45,Valladolid
2021-08-15,3.8,45,Valladolid
2021-09-15,54.1,45,Valladolid
2021-10-15,40.2,45,Valladolid
2021-11-15,41.7,45,Valladolid
2021-12-15,35.9,45,Valladolid
2021-01-15,53,47,Zamora
2021-02-15,112,47,Zamora
2021-03-15,6.8,47,Zamora
2021-04-15,63.7,47,Zamora
2021-05-15,19.8,47,Zamora
2021-06-15,54.2,47,Zamora
2021-07-15,3.1,47,Zamora
2021-08-15,9.6,47,Zamora
2021-09-15,78.5,47,Zamora
2021-10-15,55.3,47,Zamora
2021-11-15,29,47,Zamora
2021-12-15,50.3,47,Zamora
2021-01-15,52,48,Zaragoza
2021-02-15,30,48,Zaragoza
2021-03-15,3.6,48,Zaragoza
2021-04-15,52.7,48,Zaragoza
2021-05-15,38.3,48,Zaragoza
2021-06-15,57.5,48,Zaragoza
2021-07-15,13.5,48,Zaragoza
2021-08-15,13.2,48,Zaragoza
2021-09-15,61.5,48,Zaragoza
2021-10-15,27.4,48,Zaragoza
2021-11-15,76.6,48,Zaragoza
2021-12-15,23.4,48,Zaragoza
